,Range_ID,Students,Submissions,Problems,ID Range,Feedback Balance,Engagement,Tag Diversity,Domain Shift,Scale,Composite Score
207,207,3999,499943,2124,3485264-3985264,0.693,0.915,0.774,0.241,1.0,0.682
208,208,5289,499939,2251,3181265-3681265,0.71,0.869,0.775,0.258,1.0,0.682
209,209,7450,499918,1920,1788693-2288693,0.824,0.704,0.797,0.258,1.0,0.681
210,210,3453,499875,1779,2266121-2766121,0.703,0.923,0.773,0.22,1.0,0.681
211,211,5352,499939,2251,3180222-3680222,0.711,0.864,0.775,0.257,1.0,0.681
212,212,4339,499876,1780,2332122-2832122,0.71,0.92,0.78,0.211,1.0,0.681
213,213,4023,499940,2107,3465867-3965867,0.689,0.917,0.773,0.236,1.0,0.68
214,214,4003,499940,2124,3475280-3975280,0.69,0.915,0.773,0.235,1.0,0.68
215,215,3785,499963,2087,3534161-4034161,0.717,0.869,0.769,0.246,1.0,0.68
216,216,4165,499933,2122,3409780-3909780,0.686,0.918,0.772,0.235,1.0,0.68
217,217,4025,499940,2107,3463001-3963001,0.686,0.917,0.773,0.236,1.0,0.68
218,218,4162,499933,2122,3415440-3915440,0.683,0.917,0.773,0.237,1.0,0.68
219,219,4058,499935,2114,3442313-3942313,0.681,0.917,0.772,0.236,1.0,0.679
220,220,4068,499935,2111,3437216-3937216,0.682,0.918,0.772,0.235,1.0,0.679
221,221,4067,499935,2111,3437496-3937496,0.682,0.918,0.772,0.236,1.0,0.679
222,222,6748,499941,1853,1720282-2220282,0.827,0.656,0.797,0.287,1.0,0.679
223,223,6782,499941,1825,1717673-2217673,0.826,0.658,0.797,0.287,1.0,0.679
224,224,7405,499696,1628,1431475-1931475,0.726,0.809,0.772,0.28,1.0,0.679
225,225,6787,499941,1832,1716175-2216175,0.824,0.658,0.796,0.288,1.0,0.679
226,226,4071,499935,2113,3435777-3935777,0.682,0.917,0.772,0.236,1.0,0.679
227,227,7628,499930,1898,1743530-2243530,0.837,0.641,0.798,0.284,1.0,0.678
228,228,7542,499936,1894,1741860-2241860,0.836,0.642,0.798,0.285,1.0,0.678
229,229,7752,499918,1911,1783116-2283116,0.829,0.687,0.797,0.257,1.0,0.678
230,230,4340,499882,1790,2317491-2817491,0.7,0.918,0.779,0.211,1.0,0.678
231,231,7673,499930,1912,1745211-2245211,0.837,0.641,0.798,0.283,1.0,0.678
232,232,4335,499882,1773,2295028-2795028,0.702,0.916,0.776,0.206,1.0,0.677
233,233,8036,499925,1912,1762862-2262862,0.834,0.657,0.798,0.268,1.0,0.677
234,234,8008,499930,1901,1756829-2256829,0.836,0.648,0.798,0.274,1.0,0.677
235,235,4339,499882,1783,2309391-2809391,0.697,0.917,0.778,0.211,1.0,0.677
236,236,4336,499882,1779,2300137-2800137,0.699,0.916,0.777,0.208,1.0,0.677
237,237,5210,499971,2164,2717031-3217031,0.761,0.729,0.788,0.29,1.0,0.677
238,238,7769,499918,1911,1779408-2279408,0.829,0.676,0.796,0.256,1.0,0.676
239,239,7417,493652,1615,1402364-1896314,0.714,0.792,0.77,0.283,1.0,0.673
240,240,4308,499882,1774,2273373-2773373,0.705,0.853,0.774,0.207,1.0,0.664
241,241,7440,491698,1608,1365640-1865640,0.705,0.743,0.766,0.285,1.0,0.661
242,242,7393,491698,1608,1364216-1864216,0.706,0.744,0.765,0.285,1.0,0.661
243,243,7425,491709,1571,1291779-1791779,0.705,0.731,0.754,0.295,1.0,0.659
244,244,7380,491709,1570,1306414-1806414,0.712,0.734,0.756,0.275,1.0,0.657
